Serial Number,VI1 End Time,Next Station After VI1,Next Station Start Time,Upgrade End Time,BBD/ASSY1 Station,BBD/ASSY1 Start Time,BBD/ASSY1 End Time,FLA/CHIFLASH Station,FLA/CHIFLASH Start Time,Packing End Time,Shipping Start Time
1655122005277,2025-09-29T17:04:57.000Z,Disassembly,2025-09-30T13:39:43.000Z,2025-09-30T20:09:48.000Z,BBD,2025-09-30T20:28:05.000Z,2025-09-30T20:30:41.000Z,CHIFLASH,2025-10-01T00:19:06.000Z,2025-10-01T12:31:56.000Z,2025-10-01T14:47:37.000Z
1651823007950,2025-09-29T15:56:37.000Z,Disassembly,2025-09-30T12:15:30.000Z,2025-09-30T15:28:07.000Z,BBD,2025-09-30T15:44:55.000Z,2025-09-30T15:46:36.000Z,CHIFLASH,2025-10-01T00:26:16.000Z,2025-10-01T12:33:25.000Z,2025-10-01T14:47:37.000Z
1651623017429,2025-09-29T16:08:48.000Z,Disassembly,2025-09-30T13:24:54.000Z,2025-09-30T19:49:33.000Z,BBD,2025-09-30T21:21:38.000Z,2025-09-30T21:23:50.000Z,CHIFLASH,2025-09-30T22:06:29.000Z,2025-10-01T12:33:57.000Z,2025-10-01T14:47:37.000Z
1650323006159,2025-09-29T17:15:11.000Z,Disassembly,2025-09-30T14:51:24.000Z,2025-09-30T20:42:24.000Z,BBD,2025-09-30T21:17:17.000Z,2025-09-30T21:19:20.000Z,CHIFLASH,2025-10-01T00:25:27.000Z,2025-10-01T12:31:11.000Z,2025-10-01T14:47:37.000Z
